Entity,Code,Year,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
Namibia,NAM,2021,13.499999,8.56,4.01,6.17,4.98,11.33
Nauru,NRU,2021,53.54156,27.808874,4.3120723,37.05188,2.9146414,44.059
Nepal,NPL,2021,7.5700006,6.2700005,2.4500003,1.0500001,0,3.4100003
Net Food Importing Developing Countries (FAO),,2021,7.58,5.2,2.11,1.71,0.78,11.57
Netherlands,NLD,2021,12.220002,16.650003,0.8500002,31.580006,2.4900005,19.730003
New Caledonia,NCL,2021,36.25886,26.009186,1.8699415,22.129307,1.2599605,22.919283
New Zealand,NZL,2021,24.13,17.64,12.08,27.23,0.3,24.82
Nicaragua,NIC,2021,22.81998,2.309998,0.009999991,6.1199946,0.27999976,6.4599943
Niger,NER,2021,0.96999997,2.7599998,1.9899999,0.07,2.32,1.7799999
Nigeria,NGA,2021,1.1299999,1.5699999,1.9199998,1.4999999,0.8399999,8.389999
North America,,2021,48.14899,27.604275,0.6924074,23.67099,0.7636817,18.240906
North Korea,PRK,2021,1.92,0.8,0.57,4.41,5.05,11.51
North Macedonia,MKD,2021,16.520008,8.360003,0.43000022,15.560008,0.16000009,6.8000035
Northern Africa (FAO),,2021,14.87,6.12,4.14,0.01,1.31,15.52
Northern America (FAO),,2021,55.96,36.6,0.74,28.58,0.88,22.18
Northern Europe (FAO),,2021,29.4,18.18,2.98,27.33,1.05,22.64
Norway,NOR,2021,21.729996,19.199997,4.719999,27.639994,1.4099997,50.159992
Oceania,,2021,34.94209,18.427034,6.925524,20.779814,10.130651,22.58757
Oceania (FAO),,2021,34.94,18.43,6.92,20.78,10.13,22.59
Oman,OMN,2021,20.419983,11.379991,12.29999,0,3.8499966,31.439974
Pakistan,PAK,2021,6.4200006,9.670001,2.5000002,0,0.020000001,1.4400002
Panama,PAN,2021,57.14008,14.24002,0.010000014,12.580017,1.0600014,15.260021
Papua New Guinea,PNG,2021,4.050001,0.99000025,1.5600003,9.130002,42.75001,13.140003
Paraguay,PRY,2021,10.739996,14.859995,0.37999988,10.239996,0.21999992,5.0199986
Peru,PER,2021,43.170006,4.2400002,0.7700001,4.7000003,1.1300001,26.500004
Philippines,PHL,2021,15.299999,3.6099997,0.26999998,13.749999,0.009999999,27.969997
Poland,POL,2021,31.270006,1.7000003,0.020000003,56.180008,0.09000002,11.280002
Portugal,PRT,2021,30.899971,21.449982,2.2299979,39.229965,0.8199992,59.409946
Qatar,QAT,2021,55.260017,13.670005,13.120005,0.2300001,0.7500003,24.41001
Romania,ROU,2021,22.210003,5.0500007,2.8000004,36.900005,0.19000003,8.090001
Russia,RUS,2021,31.420004,13.290001,1.4900001,28.420002,3.7400002,21.840002
Rwanda,RWA,2021,1.4799999,2.7099998,1.0899999,0.9299999,1.4099998,4.3799996
Saint Kitts and Nevis,KNA,2021,73.677505,3.9182718,1.7792152,17.052479,0.13993828,35.75423
Saint Lucia,LCA,2021,61.245567,10.469242,1.919861,15.958845,0.009999276,33.46758
Saint Vincent and the Grenadines,VCT,2021,83.29202,10.069035,0.9099128,15.108552,0.07999233,19.52813
Samoa,WSM,2021,75.58274,7.9392376,2.539756,20.09807,0,44.19576
Sao Tome and Principe,STP,2021,20.409267,2.7199025,0.05999785,5.079818,0.029998925,26.529049
Saudi Arabia,SAU,2021,41.460003,5.9400005,4.6100006,,3.0400002,11.370001
Senegal,SEN,2021,7.9499974,5.999998,3.5199988,1.2099997,0.6499998,16.889994
Serbia,SRB,2021,16.689999,9.149999,4.1799994,47.579994,0.019999998,8.029999
Seychelles,SYC,2021,42.26365,14.157872,2.8995645,10.91836,0.33994892,51.552254
Sierra Leone,SLE,2021,7.239998,1.5699996,0.43999988,1.0599997,1.3699996,24.149992
Slovakia,SVK,2021,12.939998,6.559999,0.08999999,42.719994,1.1499997,10.199998
Slovenia,SVN,2021,25.070023,12.11001,0.8700008,22.770021,0.42000037,12.9600115
Small Island Developing States (FAO),,2021,25.35,4.62,0.92,8.25,7.56,12.48
Solomon Islands,SLB,2021,9.499932,2.2799838,0.1699988,5.469961,0.009999929,34.449757
